date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2024-01-31,0.38825744,0.25516021,0.22327063,0.04832304,0.08498868,-0.00540179,0.04040007,6,3,0.99999949,5,0.00739231
2024-02-01,0.38540733,0.25516022,0.23103455,0.04340921,0.08498869,0.00717530,0.04757537,6,2,0.99999999,5,0.00776394
2024-02-02,0.37591302,0.25516022,0.24665429,0.03728378,0.08498869,-0.00177788,0.04579749,6,2,0.99999681,5,0.01561974
2024-02-05,0.34051795,0.32783827,0.24665472,0.00000001,0.08498905,-0.00520166,0.04059583,6,0,0.99999997,5,0.07267884
2024-02-06,0.34051725,0.32783544,0.24665356,0.00000760,0.08498614,0.00359093,0.04418675,6,2,1.00000000,5,0.00000759
2024-02-07,0.34051725,0.32783520,0.24665355,0.00000795,0.08498605,0.00205219,0.04623894,6,2,0.99999810,5,0.00000035
2024-02-08,0.39831835,0.26834760,0.24665362,0.04081859,0.04586184,0.00039293,0.04663187,6,3,0.99996678,5,0.09861181
2024-02-09,0.39831837,0.26834800,0.24665353,0.04081812,0.04586198,0.00089317,0.04752504,6,2,1.00000000,5,0.00000056
2024-02-12,0.39831848,0.26834881,0.24665346,0.04081694,0.04586232,-0.00046884,0.04705620,6,2,1.00000000,5,0.00000126
2024-02-13,0.39831844,0.26834897,0.24665339,0.04081677,0.04586244,-0.01121288,0.03584332,6,2,1.00000000,5,0.00000028
2024-02-14,0.39831837,0.26834904,0.24665332,0.04081664,0.04586262,0.00394883,0.03979216,6,2,1.00000000,5,0.00000025
2024-02-15,0.39831836,0.26834944,0.24665327,0.04081607,0.04586286,0.00525693,0.04504909,6,2,1.00000000,5,0.00000063
2024-02-16,0.39831833,0.26834966,0.24665320,0.04081583,0.04586298,-0.00185285,0.04319623,6,2,1.00000000,5,0.00000034
2024-02-20,0.40410537,0.25511616,0.24663356,0.04827704,0.04586786,-0.00122873,0.04196750,6,3,0.99994777,5,0.01325314
2024-02-21,0.40410531,0.25511618,0.24663352,0.04827696,0.04586802,0.00017536,0.04214286,6,2,1.00000000,5,0.00000018
2024-02-22,0.38204725,0.32545020,0.24663405,0.00000002,0.04586849,0.00812592,0.05026878,6,0,0.99999977,5,0.07033501
2024-02-23,0.38204725,0.32545012,0.24663409,0.00000006,0.04586847,0.00304709,0.05331587,6,2,1.00000000,5,0.00000009
2024-02-26,0.38204725,0.32545006,0.24663412,0.00000008,0.04586849,-0.00256592,0.05074995,6,2,1.00000000,5,0.00000007
2024-02-27,0.38204725,0.32545000,0.24663416,0.00000010,0.04586849,-0.00030676,0.05044319,6,2,1.00000000,5,0.00000006
2024-02-28,0.38204725,0.32544995,0.24663419,0.00000012,0.04586850,0.00102321,0.05146640,6,2,1.00000000,5,0.00000005
2024-02-29,0.38204725,0.32544992,0.24663423,0.00000012,0.04586847,0.00401454,0.05548094,6,2,0.99999977,5,0.00000005
2024-03-01,0.38204725,0.32544989,0.24663427,0.00000013,0.04586846,0.00906836,0.06454931,6,2,1.00000000,5,0.00000004
2024-03-04,0.38204725,0.32544983,0.24663430,0.00000015,0.04586847,0.00277643,0.06732574,6,2,1.00000000,5,0.00000007
2024-03-05,0.38204726,0.32544980,0.24663434,0.00000015,0.04586845,-0.00048514,0.06684060,6,2,0.99999808,5,0.00000005
2024-03-06,0.38204727,0.32544970,0.24663437,0.00000020,0.04586846,0.00460195,0.07144255,6,2,0.99998041,5,0.00000010
2024-03-07,0.40704771,0.26138250,0.24663636,0.04803259,0.03690084,0.00575386,0.07719641,6,3,0.99999988,5,0.07303482
2024-03-08,0.40705793,0.26139464,0.24664703,0.04798745,0.03691294,-0.00095045,0.07624596,6,2,1.00000000,5,0.00004514
2024-03-11,0.40705792,0.26139463,0.25730430,0.03733021,0.03691294,-0.00014306,0.07610289,6,2,1.00000000,5,0.01065727
2024-03-12,0.40705785,0.26139437,0.25730430,0.03733013,0.03691335,0.00051919,0.07662208,6,2,1.00000000,5,0.00000041
2024-03-13,0.40705780,0.26139409,0.25730430,0.03733012,0.03691369,0.00126788,0.07788996,6,2,0.99998676,5,0.00000035
2024-03-14,0.40705778,0.26139365,0.25730430,0.03733016,0.03691411,-0.00339478,0.07449517,6,2,0.99999997,5,0.00000046
2024-03-15,0.40705776,0.26139325,0.25730430,0.03733018,0.03691452,-0.00386273,0.07063245,6,2,1.00000000,5,0.00000043
2024-03-18,0.40705773,0.26139290,0.25730430,0.03733014,0.03691493,0.00354584,0.07417828,6,2,1.00000000,5,0.00000042
2024-03-19,0.40705771,0.26139251,0.25730431,0.03733015,0.03691531,0.00305738,0.07723566,6,2,0.99999990,5,0.00000040
2024-03-20,0.40705768,0.26139219,0.25730433,0.03733012,0.03691568,0.00653061,0.08376627,6,2,1.00000000,5,0.00000038
2024-03-21,0.40705769,0.26139183,0.25730434,0.03733014,0.03691600,0.00111714,0.08488341,6,2,0.99999959,5,0.00000036
2024-03-22,0.40705773,0.26139143,0.25730436,0.03733016,0.03691632,-0.00123989,0.08364352,6,2,1.00000000,5,0.00000040
2024-03-25,0.40705777,0.26139106,0.25730441,0.03733017,0.03691660,-0.00068648,0.08295703,6,2,0.99999958,5,0.00000037
2024-03-26,0.40705781,0.26139061,0.25730447,0.03733017,0.03691693,-0.00012271,0.08283432,6,2,1.00000000,5,0.00000045
2024-03-27,0.40705786,0.26139007,0.25730456,0.03733017,0.03691734,0.00648169,0.08931601,6,2,0.99999963,5,0.00000054
2024-03-28,0.35190957,0.35386851,0.25730457,0.00000000,0.03691735,0.00345866,0.09277467,6,0,0.99701526,5,0.09247846
2024-04-01,0.35190345,0.35387062,0.25730674,0.00000004,0.03691914,-0.00116965,0.09160502,6,0,0.99910910,5,0.00000612
2024-04-02,0.35187847,0.35387927,0.25731563,0.00000017,0.03692646,0.00040745,0.09201246,6,0,0.99999995,5,0.00002498
2024-04-03,0.35187851,0.35387929,0.25731567,0.00000003,0.03692650,0.00287890,0.09489136,6,2,0.99950880,5,0.00000014
2024-04-04,0.35187851,0.35387929,0.25731568,0.00000000,0.03692651,-0.00463738,0.09025398,6,2,0.99659036,5,0.00000003
2024-04-05,0.35187851,0.35387928,0.25731569,0.00000000,0.03692652,0.00594201,0.09619599,6,2,0.99984926,5,0.00000001
2024-04-08,0.35187658,0.35387995,0.25731637,0.00000001,0.03692710,0.00061480,0.09681079,6,0,1.00000000,5,0.00000194
2024-04-09,0.34673267,0.35387284,0.25732195,0.00000000,0.04207253,0.00330278,0.10011357,6,0,0.99985714,5,0.00515101
2024-04-10,0.33605836,0.35387311,0.25732257,0.00000002,0.05274594,-0.00981830,0.09029527,6,0,0.99948596,5,0.01067431
2024-04-11,0.33605837,0.35387310,0.25732258,0.00000000,0.05274595,0.00698206,0.09727733,6,2,0.99995021,5,0.00000003
2024-04-12,0.33605837,0.35387309,0.25732258,0.00000000,0.05274596,-0.00647330,0.09080403,6,2,0.99996746,5,0.00000002
2024-04-15,0.28462843,0.35387346,0.25732232,0.00000003,0.10417575,-0.00075849,0.09004555,6,0,1.00000000,5,0.05143020
2024-04-16,0.41794441,0.18088958,0.25732235,0.04669568,0.09714798,-0.00130653,0.08873901,6,3,0.99999999,5,0.18001165
2024-04-17,0.33426625,0.18088951,0.25732232,0.00000009,0.22752183,-0.00340501,0.08533400,6,0,0.99961586,5,0.13037384
2024-04-18,0.33219282,0.18088951,0.25732233,0.00000001,0.22959533,-0.00001052,0.08532348,6,0,1.00000000,5,0.00207351
2024-04-19,0.29867880,0.18089645,0.25731904,0.00000026,0.26310545,-0.00158623,0.08373725,6,0,1.00000000,5,0.03351731
2024-04-22,0.29676013,0.18089701,0.25732061,0.00000009,0.26502216,-0.00374502,0.07999224,6,0,1.00000000,5,0.00191885
2024-04-23,0.29674229,0.18090300,0.25732667,0.00000018,0.26502786,0.00202998,0.08202222,6,0,0.99998983,5,0.00001784
2024-04-24,0.42114920,0.16894946,0.25732708,0.04478245,0.10779181,-0.00098364,0.08103858,6,3,0.99999678,5,0.16918960
2024-04-25,0.29652244,0.16894315,0.28808291,0.00000249,0.24644901,-0.00080773,0.08023084,6,0,1.00000000,5,0.16941303
2024-04-26,0.29652308,0.16894370,0.28808343,0.00000022,0.24644956,0.00551809,0.08574894,6,0,1.00000000,5,0.00000228
2024-04-29,0.29652313,0.16894374,0.28808348,0.00000004,0.24644961,0.00026816,0.08601709,6,2,0.99995553,5,0.00000018
2024-04-30,0.29650057,0.16895136,0.28809111,0.00000021,0.24645675,-0.00976007,0.07625703,6,0,1.00000000,5,0.00002255
2024-05-01,0.29648359,0.16895712,0.28809690,0.00000018,0.24646221,0.00199123,0.07824826,6,0,0.99999232,5,0.00001701
2024-05-02,0.27675298,0.16895718,0.28809593,0.00000030,0.26619361,0.00038544,0.07863369,6,0,0.99976141,5,0.01973158
2024-05-03,0.24252053,0.16896285,0.28809304,0.00000027,0.30042331,0.00289329,0.08152698,6,0,0.99998991,5,0.03423537
2024-05-06,0.24250539,0.16896799,0.28809821,0.00000018,0.30042823,0.00596636,0.08749334,6,0,0.99994465,5,0.00001523
2024-05-07,0.24249625,0.16897111,0.28810132,0.00000011,0.30043122,0.00027164,0.08776498,6,0,0.99791764,5,0.00000921
2024-05-08,0.41209576,0.16434140,0.28810118,0.02592649,0.10953516,-0.00095129,0.08681368,6,3,0.92744253,5,0.19552590
2024-05-09,0.28085445,0.16434132,0.28810113,0.00000013,0.26670296,0.00550548,0.09231916,6,0,0.99928768,5,0.15716780
