date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2022-07-08,0.19012902,0.64757796,0.12851650,0.02861617,0.00516035,-0.00481539,0.57232672,4,3,0.63259800,5,0.00001748
2022-07-11,0.19012922,0.64757821,0.12851667,0.02861530,0.00516060,0.00352880,0.57585552,3,1,0.99785034,5,0.00000086
2022-07-12,0.19012939,0.64757842,0.12851680,0.02861458,0.00516080,-0.00248694,0.57336858,3,1,0.99976720,5,0.00000072
2022-07-13,0.19012945,0.64757848,0.12851684,0.02861436,0.00516087,0.00276947,0.57613805,3,1,0.99618956,5,0.00000022
2022-07-14,0.19012955,0.64757861,0.12851693,0.02861391,0.00516100,-0.00518106,0.57095699,3,1,0.99978216,5,0.00000045
2022-07-15,0.19012962,0.64757870,0.12851698,0.02861362,0.00516109,0.00634563,0.57730262,3,1,0.99937687,5,0.00000030
2022-07-18,0.19012967,0.64757876,0.12851703,0.02861338,0.00516115,-0.00178084,0.57552177,3,1,0.99956835,5,0.00000024
2022-07-19,0.19012973,0.64757883,0.12851707,0.02861316,0.00516121,0.00152895,0.57705073,3,1,0.99969979,5,0.00000022
2022-07-20,0.19013004,0.64757921,0.12851732,0.02861183,0.00516159,-0.00062030,0.57643043,3,1,0.99934025,5,0.00000133
2022-07-21,0.19013044,0.64757969,0.12851765,0.02861015,0.00516207,0.00982340,0.58625383,3,1,0.99998388,5,0.00000168
2022-07-22,0.19013049,0.64757976,0.12851769,0.02860992,0.00516213,0.00429776,0.59055159,3,1,0.99974356,5,0.00000023
2022-07-25,0.19013122,0.64758066,0.12851830,0.02860684,0.00516300,-0.00199705,0.58855454,3,1,0.99861964,5,0.00000309
2022-07-26,0.19013130,0.64758077,0.12851836,0.02860649,0.00516309,-0.00070678,0.58784776,3,1,0.99993875,5,0.00000035
2022-07-27,0.19013137,0.64758086,0.12851842,0.02860616,0.00516318,0.00981034,0.59765810,3,1,0.99989850,5,0.00000033
