"date","copper"
1989-10-16,2793.95
1989-10-17,2964.52
1989-10-18,2902.07
1989-10-19,2895.36
1989-10-20,2957.92
1989-10-23,2867.35
1989-10-24,2809.63
1989-10-25,2759.33
1989-10-26,2768.92
1989-10-27,2723.92
1989-10-30,2723.7
1989-10-31,2719.09
1989-11-01,2747.14
1989-11-02,2724.23
1989-11-03,2641.53
1989-11-06,2596.6
1989-11-07,2621.76
1989-11-08,2676.78
1989-11-09,2723.16
1989-11-10,2670.53
1989-11-13,2636.23
1989-11-14,2674.32
1989-11-15,2623.36
1989-11-16,2649.51
1989-11-17,2560
1989-11-20,2506.85
1989-11-21,2488.39
1989-11-22,2474.56
1989-11-23,2489.78
1989-11-24,2477.8
1989-11-27,2463.07
1989-11-28,2504.95
1989-11-29,2541.59
1989-11-30,2487.96
1989-12-01,2502.84
1989-12-04,2469.93
1989-12-05,2390.33
1989-12-06,2386.4
1989-12-07,2398.78
1989-12-08,2394.25
1989-12-11,2403.67
1989-12-12,2361.02
1989-12-13,2382.98
1989-12-14,2429.07
1989-12-15,2402.3
1989-12-18,2435.08
1989-12-19,2359.26
1989-12-20,2402.74
1989-12-21,2404.24
1989-12-22,2448.03
1989-12-25,NA
1989-12-26,NA
1989-12-27,2463.1
1989-12-28,2394.43
1989-12-29,2439.76
1990-01-01,NA
1990-01-02,2375.49
1990-01-03,2421.63
1990-01-04,2523.24
1990-01-05,2518.18
1990-01-08,2531.17
1990-01-09,2557.19
1990-01-10,2513.4
1990-01-11,2496.35
1990-01-12,2472.62
1990-01-15,2392.56
1990-01-16,2359.6
1990-01-17,2388.68
1990-01-18,2382.16
1990-01-19,2305.22
1990-01-22,2288.29
1990-01-23,2206.4
1990-01-24,2212.07
1990-01-25,2255.18
1990-01-26,2204.46
1990-01-29,2255.57
1990-01-30,2193.72
1990-01-31,2193.43
1990-02-01,2247.65
1990-02-02,2261.62
1990-02-05,2269.61
1990-02-06,2240.22
1990-02-07,2249.93
1990-02-08,2267.06
1990-02-09,2325.81
1990-02-12,2328.93
1990-02-13,2250.81
1990-02-14,2319.85
1990-02-15,2364.72
1990-02-16,2429.91
1990-02-19,2450.88
1990-02-20,2471.78
1990-02-21,2422.59
1990-02-22,2498.16
1990-02-23,2458.1
1990-02-26,2430.43
1990-02-27,2454.37
1990-02-28,2460.64
1990-03-01,2488.43
1990-03-02,2505.46
1990-03-05,2575.65
1990-03-06,2646.65
1990-03-07,2599.45
1990-03-08,2579.51
1990-03-09,2644.63
1990-03-12,2598.54
1990-03-13,2595.2
1990-03-14,2599.82
1990-03-15,2705.42
1990-03-16,2726.3
1990-03-19,2710.54
1990-03-20,2638.79
1990-03-21,2661.37
1990-03-22,2714.45
1990-03-23,2628.97
1990-03-26,2595.63
1990-03-27,2623.56
1990-03-28,2540.39
1990-03-29,2656.57
1990-03-30,2684.98
1990-04-02,2827.7
1990-04-03,2757.4
1990-04-04,2777.87
1990-04-05,2681.39
1990-04-06,2687.47
1990-04-09,2699.43
1990-04-10,2646.58
1990-04-11,2632.09
1990-04-12,2816.89
1990-04-13,NA
1990-04-16,NA
1990-04-17,2726.1
1990-04-18,2683.04
1990-04-19,2657.57
1990-04-20,2606.99
1990-04-23,2620.07
1990-04-24,2592.74
1990-04-25,2696.14
1990-04-26,2685.46
1990-04-27,2658.18
1990-04-30,2587.25
1990-05-01,2707.61
1990-05-02,2803.75
1990-05-03,2833.23
1990-05-04,2783.8
1990-05-07,NA
1990-05-08,2705.45
1990-05-09,2876.91
1990-05-10,2944.73
1990-05-11,2847.61
1990-05-14,2849.3
1990-05-15,2699.17
1990-05-16,2660.04
1990-05-17,2727.98
1990-05-18,2690.48
1990-05-21,2651.49
1990-05-22,2712.36
1990-05-23,2713.97
1990-05-24,2695.04
1990-05-25,2699.02
1990-05-28,NA
1990-05-29,2699.34
1990-05-30,2595.37
1990-05-31,2660.61
1990-06-01,2615.38
1990-06-04,2678.4
1990-06-05,2654.2
1990-06-06,2620.69
1990-06-07,2598.75
1990-06-08,2609.43
1990-06-11,2585.56
1990-06-12,2625.56
1990-06-13,2557.62
1990-06-14,2538.53
1990-06-15,2568.12
1990-06-18,2584.51
1990-06-19,2623
1990-06-20,2530.12
1990-06-21,2544.62
1990-06-22,2550.53
1990-06-25,2538.91
1990-06-26,2498.4
1990-06-27,2526.92
1990-06-28,2546.17
1990-06-29,2623.97
1990-07-02,2642.51
1990-07-03,2670.08
1990-07-04,2639.28
1990-07-05,2643
1990-07-06,2735.33
1990-07-09,2811.72
1990-07-10,2807.03
1990-07-11,2808.48
1990-07-12,2875
1990-07-13,2885.78
1990-07-16,2782.03
1990-07-17,2781.7
1990-07-18,2731.82
1990-07-19,2730.82
1990-07-20,2690.94
1990-07-23,2762.76
1990-07-24,2705.73
1990-07-25,2728.88
1990-07-26,2792.83
1990-07-27,2886.98
1990-07-30,2885.08
1990-07-31,2866.89
1990-08-01,2850.37
1990-08-02,2922.21
1990-08-03,2867.06
1990-08-06,2851.47
1990-08-07,2903.06
1990-08-08,2900.85
1990-08-09,3094.52
1990-08-10,3008.89
1990-08-13,3006.39
1990-08-14,2952.3
1990-08-15,2942.75
1990-08-16,3027.61
1990-08-17,3008.21
1990-08-20,2988.84
1990-08-21,2961.8
1990-08-22,2947.55
1990-08-23,2889.9
1990-08-24,2986.34
1990-08-27,NA
1990-08-28,2993.31
1990-08-29,2920.95
1990-08-30,2978.33
1990-08-31,2961.31
1990-09-03,2956.97
1990-09-04,2919.99
1990-09-05,2900.12
1990-09-06,2965.39
1990-09-07,3056.39
1990-09-10,3205.18
1990-09-11,3241.2
1990-09-12,3383.16
1990-09-13,3350.45
1990-09-14,3209.72
1990-09-17,3387.34
1990-09-18,3087.18
1990-09-19,2925.19
1990-09-20,2979.46
1990-09-21,2868.98
1990-09-24,2819.32
1990-09-25,2744.59
1990-09-26,2810.59
1990-09-27,2883.42
