,turnover
2008-08-05,1.2151188871531438e-05
2008-08-06,8.776332394412611e-05
2008-08-07,0.0018742390002239213
2008-08-08,0.0019422201929068204
2008-08-11,0.0018000837088586012
2008-08-12,0.0020786738000759877
2008-08-13,0.0020389520933700687
2008-08-14,0.0019769391527301866
2008-08-15,0.0020756086381289313
2008-08-18,0.001763139924614833
2008-08-19,0.0018270536710084315
2008-08-20,0.0016696455758316228
2008-08-21,0.001577913455530086
2008-08-22,0.0016068100121012785
2008-08-25,0.0012795720185933557
2008-08-26,0.0010064492339610098
2008-08-27,0.0011140790810445916
2008-08-28,0.0011176382296126733
2008-08-29,0.0010176092473814236
2008-09-01,0.0010246710178080792
2008-09-02,0.0010563153615163086
2008-09-03,0.0003814112698598618
2008-09-04,0.0004282106572308271
2008-09-05,0.00047777451041971716
2008-09-08,0.00042530884774985567
2008-09-09,0.0002551639964398812
2008-09-10,0.00019115649061434564
2008-09-11,0.00022890375376084446
2008-09-12,0.0009101631750451367
2008-09-15,0.0017500044220257194
2008-09-16,0.0020661887519771854
2008-09-17,0.0021356286828047126
2008-09-18,0.0013917152920492996
2008-09-19,0.0010914355254301143
2008-09-22,0.00010195157330573912
2008-09-23,8.482293376670808e-05
2008-09-24,0.00020625964983026976
2008-09-25,0.0004124107619461678
2008-09-26,0.00040409304793501133
2008-09-29,0.0004538327942211484
2008-09-30,0.000225122020181958
2008-10-01,0.0003915152777893456
2008-10-02,0.0004165280174198427
2008-10-03,0.0014175805847051123
2008-10-06,0.0012112749727628443
2008-10-07,0.0011432512141673241
2008-10-08,0.0005137435656974131
2008-10-09,9.125242978312575e-05
2008-10-10,0.00030132280364186456
2008-10-13,0.002603015050641609
2008-10-14,0.0012166777958169013
2008-10-15,0.0015862793098383385
2008-10-16,0.002912647823594742
2008-10-17,0.0030240523892679123
2008-10-20,0.0031225745773865617
2008-10-21,0.00265737379301444
2008-10-22,0.003577917551656408
2008-10-23,0.004779945232287926
2008-10-24,0.004326834375401455
2008-10-27,0.004486401548315786
2008-10-28,0.004246819790004314
2008-10-29,0.002637797502315787
2008-10-30,0.002130169889004111
2008-10-31,0.0017110692780275515
2008-11-03,0.0016728605023302
2008-11-04,0.0015030509393435844
2008-11-05,0.0016263009324130988
2008-11-06,0.0015150368479746497
2008-11-07,0.001919829831723209
2008-11-10,0.0026875928997601613
2008-11-11,0.001519683711273201
2008-11-12,0.0019429207612197685
2008-11-13,0.0020318991308796545
2008-11-14,0.0019415982229552889
2008-11-17,0.001812055131967305
2008-11-18,0.0016838214425051005
2008-11-19,0.0016767863902216098
2008-11-20,0.001563425423048213
2008-11-21,0.0012776031754416772
2008-11-24,0.0014631208140119985
2008-11-25,0.0009069204293843842
2008-11-26,0.0009725254049561417
2008-11-27,0.0007352158243169645
2008-11-28,0.0007036960701877863
2008-12-01,0.0007991728683784931
2008-12-02,0.0006192248114484031
2008-12-03,0.0008791254534248356
2008-12-04,0.0009222540530269361
2008-12-05,0.0008708610236186076
2008-12-08,0.0013036331656136567
2008-12-09,0.0008655240715274258
2008-12-10,0.0009338430029533825
2008-12-11,0.0008437223814056699
2008-12-12,0.0003752990390855065
2008-12-15,0.0005390555193308701
2008-12-16,0.0002371421913640757
2008-12-17,0.00041940793489914866
2008-12-18,0.00033565809961808024
2008-12-19,0.00027066089332250954
2008-12-22,0.0007523380712249816
2008-12-23,0.0008849895341710486
2008-12-24,0.0009272653829997301
2008-12-25,0.0010994415751837882
2008-12-26,0.001029129056979064
2008-12-29,0.0010663524592532574
2008-12-30,0.0009921508364695488
2008-12-31,0.000728854357186681
2009-01-01,0.0007060267505663142
2009-01-02,0.0006521459682146298
2009-01-05,7.589489397628792e-05
2009-01-06,7.415978561901371e-05
2009-01-07,1.6767397108319315e-05
2009-01-08,1.428203777573047e-05
2009-01-09,1.35307509328466e-05
2009-01-12,1.3015940982651509e-05
2009-01-13,1.2724293156557605e-05
2009-01-14,1.237515112030357e-05
2009-01-15,1.2217035274726413e-05
2009-01-16,1.2244295990802845e-05
2009-01-19,1.959594904453986e-05
2009-01-20,1.824897191390158e-05
2009-01-21,1.7366747353185844e-05
2009-01-22,1.7542161605249313e-05
2009-01-23,2.140157928920026e-05
2009-01-26,5.594483210025203e-17
2009-01-27,0.0005601250772446012
2009-01-28,0.0034139853616348688
2009-01-29,0.002915813349997626
2009-01-30,0.003303873216198988
2009-02-02,0.007071748180107494
2009-02-03,0.005987843291661459
2009-02-04,0.005602679005101694
2009-02-05,0.005182784831817205
2009-02-06,0.004612842308300602
2009-02-09,0.004581732930296598
2009-02-10,0.004011165257596018
2009-02-11,0.0033820463724140975
2009-02-12,0.002969609865202982
2009-02-13,0.0032249755185667466
2009-02-16,0.0034022360897690666
2009-02-17,0.0020082481593502316
2009-02-18,0.0018325726631435498
2009-02-19,0.00173672920514574
2009-02-20,0.002010543338488869
2009-02-23,0.0018353266706807262
2009-02-24,0.0014006725225875084
2009-02-25,0.0013128847691846
2009-02-26,0.0014932799724442815
2009-02-27,0.0016234848600502078
2009-03-02,0.0019658785948427227
2009-03-03,0.001709004937484106
2009-03-04,0.001461473414727927
2009-03-05,0.0019028647997783327
2009-03-06,0.001377869275723113
2009-03-09,0.001129894490059154
2009-03-10,0.001279700800255277
2009-03-11,0.0009503177460098242
2009-03-12,0.0006478887264091994
2009-03-13,0.0006062289388921709
2009-03-16,0.0005017876352637896
2009-03-17,0.0003255222442091251
2009-03-18,0.0005043921062772069
2009-03-19,0.0004060520256265396
2009-03-20,0.000586936550856381
2009-03-23,0.0007023511528304483
2009-03-24,0.0006272361039361476
2009-03-25,0.0005360104433466371
2009-03-26,0.0005004000092047461
2009-03-27,0.0004893830276149289
2009-03-30,0.00034612576297901945
2009-03-31,0.0003366633364080482
2009-04-01,0.0001497487356937402
2009-04-02,0.0003421810254426068
2009-04-03,0.0004821114418567009
2009-04-06,0.0004072048667630064
2009-04-07,0.000416489706622402
2009-04-08,0.0003733621041785429
2009-04-09,0.0004040600482962606
2009-04-10,0.0006580164174698096
2009-04-13,0.0006524160018675125
2009-04-14,0.000554855955123286
2009-04-15,0.00047875378925234247
2009-04-16,0.00045211679514913297
2009-04-17,0.00053065134506812
2009-04-20,0.0005775452547540881
2009-04-21,0.0004061639170185975
2009-04-22,0.00037318215370895844
2009-04-23,0.00034400946815238767
